dataset,filter,family,size,strategy,ef,pass,qrow,latency_ms,recall_at_10,nodes_popped,dist_comps,seed_dist_comps,filter_checks,pop_idx_cand_full,pop_idx_results_full,twohop_examined,twohop_appended,prefilter_skips,secondorder_allocs,reencountered_burned,strategy_selected
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,516,0.6000,1.00,68,1313,0,417,2,2,64,58,0,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,588,0.6388,1.00,67,1308,0,412,2,2,64,53,26,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,637,0.4642,1.00,67,988,0,386,2,3,64,23,0,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,657,0.5830,1.00,65,1255,0,337,2,2,64,58,0,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,768,0.6301,1.00,67,1428,0,371,2,2,64,56,0,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,856,0.7915,1.00,83,1603,0,894,3,4,128,14,369,2,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,921,0.5778,1.00,66,1184,0,369,2,2,64,55,13,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,929,0.8058,1.00,78,1624,0,735,3,4,128,3,245,2,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,939,0.6590,1.00,65,1577,0,334,2,2,64,58,0,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,964,0.6034,1.00,66,1447,0,373,2,2,64,56,24,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,995,0.7428,1.00,83,1496,0,834,2,2,64,56,345,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,106,0.5399,1.00,66,1148,0,322,2,2,64,61,6,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,116,0.6210,1.00,69,1299,0,442,2,2,64,48,53,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,170,0.7077,1.00,78,1543,0,661,3,4,128,16,214,2,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,171,0.6599,1.00,66,1525,0,374,2,2,64,59,0,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,203,0.5468,1.00,65,1099,0,367,3,3,128,86,0,2,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,225,0.5001,1.00,68,955,0,424,2,2,64,54,88,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,267,0.3256,1.00,69,915,0,413,2,2,64,56,10,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,282,0.5475,1.00,69,1162,0,427,2,2,64,55,47,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,385,0.5580,1.00,65,1169,0,329,2,2,64,41,0,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,392,0.5588,1.00,68,1194,0,459,3,3,128,80,27,2,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,484,0.5027,1.00,68,1069,0,344,2,2,64,60,2,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,516,0.5991,1.00,68,1313,0,417,2,2,64,58,0,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,588,0.6526,1.00,67,1308,0,412,2,2,64,53,26,1,0,3
