method,filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
scan,negsparse_q0085_m300k,negsparse,300000,4096,1,0.6000,0.0000,0.00004,45.976,45.976,45.976,1.446,25.495,1.550,17.485,18.31,512.0,2100.0
scan,negsparse_q0085_m300k,negsparse,300000,32768,1,0.5000,0.0000,0.00004,51.847,51.847,51.847,1.490,27.964,10.062,12.330,18.31,4096.0,2100.0
scan,negsparse_q0085_m1m,negsparse,1000000,4096,1,0.0000,0.0000,0.00008,150.097,150.097,150.097,10.948,117.948,1.892,19.309,61.04,512.0,2100.0
scan,negsparse_q0085_m1m,negsparse,1000000,32768,1,0.0000,0.0000,0.00006,149.920,149.920,149.920,10.874,116.673,11.535,10.837,61.04,4096.0,2100.0
scan,negsparse_q0085_m2m,negsparse,2000000,4096,1,0.0000,0.0000,0.00004,230.205,230.205,230.205,16.543,194.015,1.787,17.860,122.07,512.0,2100.0
scan,negsparse_q0085_m2m,negsparse,2000000,32768,1,0.0000,0.0000,0.00003,228.883,228.883,228.883,16.568,192.392,11.623,8.300,122.07,4096.0,2100.0
scan,negsparse_q0085_m4m,negsparse,4000000,4096,1,0.0000,0.0000,0.00005,261.498,261.498,261.498,28.707,217.520,1.881,13.391,244.14,512.0,2100.0
scan,negsparse_q0085_m4m,negsparse,4000000,32768,1,0.0000,0.0000,0.00004,265.778,265.778,265.778,28.317,215.324,12.149,9.988,244.14,4096.0,2100.0
scan,negsparse_q0095_m50k,negsparse,50000,4096,1,0.8000,0.0000,0.00002,26.412,26.412,26.412,0.210,5.263,0.873,20.066,3.05,512.0,2100.0
scan,negsparse_q0095_m50k,negsparse,50000,32768,1,0.9000,0.0000,0.00001,20.103,20.103,20.103,0.219,5.613,7.836,6.435,3.05,4096.0,2100.0
scan,negsparse_q0095_m150k,negsparse,150000,4096,1,0.4000,0.0000,0.00009,34.860,34.860,34.860,0.628,12.784,1.093,20.355,9.16,512.0,2100.0
scan,negsparse_q0095_m150k,negsparse,150000,32768,1,0.4000,0.0000,0.00006,33.887,33.887,33.887,0.643,14.689,8.915,9.641,9.16,4096.0,2100.0
scan,negsparse_q0095_m300k,negsparse,300000,4096,1,0.5000,0.0000,0.00002,43.509,43.509,43.509,1.500,25.345,1.324,15.339,18.31,512.0,2100.0
scan,negsparse_q0095_m300k,negsparse,300000,32768,1,0.5000,0.0000,0.00002,48.493,48.493,48.493,1.592,28.792,10.307,7.803,18.31,4096.0,2100.0
scan,negsparse_q0095_m1m,negsparse,1000000,4096,1,0.2000,0.0000,0.00006,143.351,143.351,143.351,10.867,115.340,1.718,15.426,61.04,512.0,2100.0
scan,negsparse_q0095_m1m,negsparse,1000000,32768,1,0.3000,0.0000,0.00004,146.674,146.674,146.674,10.778,115.988,11.353,8.555,61.04,4096.0,2100.0
scan,negsparse_q0095_m2m,negsparse,2000000,4096,1,0.0000,0.0000,0.00010,225.894,225.894,225.894,16.716,194.273,1.933,12.972,122.07,512.0,2100.0
scan,negsparse_q0095_m2m,negsparse,2000000,32768,1,0.2000,0.0000,0.00002,230.778,230.778,230.778,16.642,192.368,12.308,9.459,122.07,4096.0,2100.0
scan,negsparse_q0095_m4m,negsparse,4000000,4096,1,0.0000,0.0000,0.00007,257.148,257.148,257.148,28.391,214.593,1.866,12.298,244.14,512.0,2100.0
scan,negsparse_q0095_m4m,negsparse,4000000,32768,1,0.0000,0.0000,0.00005,273.658,273.658,273.658,28.911,224.251,11.975,8.522,244.14,4096.0,2100.0
scan,negsparse_q0117_m50k,negsparse,50000,4096,1,0.7000,0.0000,0.00005,29.807,29.807,29.807,0.286,4.956,0.866,23.698,3.05,512.0,2100.0
scan,negsparse_q0117_m50k,negsparse,50000,32768,1,1.0000,1.0000,0.00000,21.054,21.054,21.054,0.222,5.638,8.194,7.000,3.05,4096.0,2100.0
scan,negsparse_q0117_m150k,negsparse,150000,4096,1,0.4000,0.0000,0.00008,33.836,33.836,33.836,0.623,12.912,1.200,19.100,9.16,512.0,2100.0
