filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0656_tau0.03,anticorr,9900557,4096,1,1.0000,1.0000,0.00000,319.093,319.093,319.093,62.749,227.866,1.699,26.779,604.28,512.0,2100.0
anticorr_q0656_tau0.03,anticorr,9900557,32768,1,1.0000,1.0000,0.00000,311.165,311.165,311.165,63.295,230.541,11.793,5.536,604.28,4096.0,2100.0
anticorr_q0660_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00005,326.767,326.767,326.767,63.227,228.418,2.024,33.098,604.25,512.0,2100.0
anticorr_q0660_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00003,331.077,331.077,331.077,62.672,233.216,12.661,22.529,604.25,4096.0,2100.0
anticorr_q0660_tau0.01,anticorr,9899848,4096,1,0.5000,0.0000,0.00297,326.564,326.564,326.564,61.847,231.136,1.988,31.593,604.24,512.0,2100.0
anticorr_q0660_tau0.01,anticorr,9899848,32768,1,0.7000,0.0000,0.00079,323.893,323.893,323.893,62.593,231.155,11.578,18.568,604.24,4096.0,2100.0
anticorr_q0660_tau0.03,anticorr,9899835,4096,1,0.9000,0.0000,0.00082,318.078,318.078,318.078,64.577,228.451,1.782,23.269,604.24,512.0,2100.0
anticorr_q0660_tau0.03,anticorr,9899835,32768,1,1.0000,1.0000,0.00000,316.259,316.259,316.259,63.745,232.198,11.894,8.421,604.24,4096.0,2100.0
anticorr_q0669_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00010,331.984,331.984,331.984,62.490,229.194,2.013,38.286,604.25,512.0,2100.0
anticorr_q0669_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00006,334.489,334.489,334.489,62.577,233.783,12.310,25.820,604.25,4096.0,2100.0
anticorr_q0669_tau0.01,anticorr,9900129,4096,1,0.9000,0.0000,0.00052,330.614,330.614,330.614,62.329,228.329,1.973,37.983,604.26,512.0,2100.0
anticorr_q0669_tau0.01,anticorr,9900129,32768,1,1.0000,1.0000,0.00000,327.988,327.988,327.988,62.434,231.338,12.226,21.990,604.26,4096.0,2100.0
anticorr_q0669_tau0.03,anticorr,9900060,4096,1,1.0000,1.0000,0.00000,322.031,322.031,322.031,63.869,228.293,1.815,28.054,604.25,512.0,2100.0
anticorr_q0669_tau0.03,anticorr,9900060,32768,1,1.0000,1.0000,0.00000,315.132,315.132,315.132,63.865,231.161,12.182,7.925,604.25,4096.0,2100.0
anticorr_q0671_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00005,335.671,335.671,335.671,61.627,231.546,2.162,40.336,604.25,512.0,2100.0
anticorr_q0671_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00002,332.226,332.226,332.226,62.634,232.011,11.905,25.676,604.25,4096.0,2100.0
anticorr_q0671_tau0.01,anticorr,9899767,4096,1,0.6000,0.0000,0.00260,330.086,330.086,330.086,62.800,226.868,1.955,38.464,604.23,512.0,2100.0
anticorr_q0671_tau0.01,anticorr,9899767,32768,1,0.8000,0.0000,0.00027,324.605,324.605,324.605,62.623,231.720,11.656,18.606,604.23,4096.0,2100.0
anticorr_q0671_tau0.03,anticorr,9900017,4096,1,1.0000,1.0000,0.00000,317.624,317.624,317.624,62.778,228.503,1.810,24.532,604.25,512.0,2100.0
anticorr_q0671_tau0.03,anticorr,9900017,32768,1,1.0000,1.0000,0.00000,313.117,313.117,313.117,62.118,231.232,12.957,6.809,604.25,4096.0,2100.0
