method,filter,family,size,recall_at_10,sim_regret,p50_ms,p95_ms,p99_ms
scan-b4096,anticorr_q0596_tau0.01,anticorr,9900518,0.8000,,367.227,367.227,367.227
scan-b4096,anticorr_q0596_tau0.03,anticorr,9900472,1.0000,,381.328,381.328,381.328
scan-b4096,anticorr_q0620_tau0,anticorr,9900002,0.0000,,481.115,481.115,481.115
scan-b4096,anticorr_q0620_tau0.01,anticorr,9899856,0.8000,,363.347,363.347,363.347
scan-b4096,anticorr_q0620_tau0.03,anticorr,9899741,1.0000,,381.128,381.128,381.128
scan-b4096,anticorr_q0633_tau0,anticorr,9900000,0.0000,,359.981,359.981,359.981
scan-b4096,anticorr_q0633_tau0.01,anticorr,9899936,0.7000,,364.183,364.183,364.183
scan-b4096,anticorr_q0633_tau0.03,anticorr,9899322,1.0000,,362.195,362.195,362.195
scan-b4096,anticorr_q0636_tau0,anticorr,9900000,0.0000,,387.006,387.006,387.006
scan-b4096,anticorr_q0636_tau0.01,anticorr,9900445,0.8000,,404.630,404.630,404.630
scan-b4096,anticorr_q0636_tau0.03,anticorr,9900840,1.0000,,395.288,395.288,395.288
scan-b4096,anticorr_q0643_tau0,anticorr,9900000,0.0000,,430.577,430.577,430.577
scan-b4096,anticorr_q0643_tau0.01,anticorr,9899589,0.6000,,368.181,368.181,368.181
scan-b4096,anticorr_q0643_tau0.03,anticorr,9899489,1.0000,,345.125,345.125,345.125
scan-b4096,anticorr_q0655_tau0,anticorr,9900000,0.0000,,385.614,385.614,385.614
scan-b4096,anticorr_q0655_tau0.01,anticorr,9899936,0.9000,,405.706,405.706,405.706
scan-b4096,anticorr_q0655_tau0.03,anticorr,9900416,1.0000,,390.728,390.728,390.728
scan-b4096,anticorr_q0656_tau0,anticorr,9900001,0.1000,,388.857,388.857,388.857
scan-b4096,anticorr_q0656_tau0.01,anticorr,9899725,0.8000,,403.380,403.380,403.380
scan-b4096,anticorr_q0656_tau0.03,anticorr,9900557,1.0000,,398.665,398.665,398.665
scan-b4096,anticorr_q0660_tau0,anticorr,9900000,0.0000,,444.815,444.815,444.815
scan-b4096,anticorr_q0660_tau0.01,anticorr,9899848,0.6000,,422.693,422.693,422.693
scan-b4096,anticorr_q0660_tau0.03,anticorr,9899835,0.9000,,376.032,376.032,376.032
scan-b4096,anticorr_q0669_tau0,anticorr,9900000,0.0000,,430.759,430.759,430.759
scan-b4096,anticorr_q0669_tau0.01,anticorr,9900129,0.9000,,402.239,402.239,402.239
scan-b4096,anticorr_q0669_tau0.03,anticorr,9900060,1.0000,,392.407,392.407,392.407
scan-b4096,anticorr_q0671_tau0,anticorr,9900000,0.0000,,420.393,420.393,420.393
scan-b4096,anticorr_q0671_tau0.01,anticorr,9899767,0.5000,,421.107,421.107,421.107
scan-b4096,anticorr_q0671_tau0.03,anticorr,9900017,1.0000,,367.168,367.168,367.168
scan-b4096,anticorr_q0681_tau0,anticorr,9900000,0.0000,,414.392,414.392,414.392
scan-b4096,anticorr_q0681_tau0.01,anticorr,9900094,0.5000,,461.833,461.833,461.833
scan-b4096,anticorr_q0681_tau0.03,anticorr,9899861,1.0000,,439.090,439.090,439.090
scan-b4096,anticorr_q0690_tau0,anticorr,9900001,0.0000,,381.917,381.917,381.917
scan-b4096,anticorr_q0690_tau0.01,anticorr,9899876,0.8000,,393.173,393.173,393.173
scan-b4096,anticorr_q0690_tau0.03,anticorr,9899901,1.0000,,376.895,376.895,376.895
scan-b4096,anticorr_q0695_tau0,anticorr,9900000,0.0000,,419.425,419.425,419.425
scan-b4096,anticorr_q0695_tau0.01,anticorr,9899936,1.0000,,398.579,398.579,398.579
scan-b4096,anticorr_q0695_tau0.03,anticorr,9899734,1.0000,,379.198,379.198,379.198
scan-b4096,anticorr_q0698_tau0,anticorr,9900001,0.0000,,409.093,409.093,409.093
scan-b4096,anticorr_q0698_tau0.01,anticorr,9899936,0.8000,,403.095,403.095,403.095
scan-b4096,anticorr_q0698_tau0.03,anticorr,9900691,1.0000,,431.878,431.878,431.878
scan-b4096,anticorr_q0712_tau0,anticorr,9900000,0.0000,,483.525,483.525,483.525
scan-b4096,anticorr_q0712_tau0.01,anticorr,9899910,0.5000,,378.896,378.896,378.896
scan-b4096,anticorr_q0712_tau0.03,anticorr,9900215,0.9000,,355.723,355.723,355.723
scan-b4096,anticorr_q0714_tau0,anticorr,9900000,0.0000,,420.402,420.402,420.402
scan-b4096,anticorr_q0714_tau0.01,anticorr,9900125,0.6000,,369.222,369.222,369.222
scan-b4096,anticorr_q0714_tau0.03,anticorr,9899674,1.0000,,402.503,402.503,402.503
scan-b4096,anticorr_q0716_tau0,anticorr,9900000,0.1000,,404.976,404.976,404.976
scan-b4096,anticorr_q0716_tau0.01,anticorr,9900123,0.9000,,426.613,426.613,426.613
scan-b4096,anticorr_q0716_tau0.03,anticorr,9899962,1.0000,,393.810,393.810,393.810
scan-b4096,anticorr_q0720_tau0,anticorr,9900000,0.1000,,435.638,435.638,435.638
scan-b4096,anticorr_q0720_tau0.01,anticorr,9899905,0.4000,,435.342,435.342,435.342
scan-b4096,anticorr_q0720_tau0.03,anticorr,9900468,1.0000,,386.243,386.243,386.243
scan-b4096,anticorr_q0722_tau0,anticorr,9900000,0.0000,,424.257,424.257,424.257
scan-b4096,anticorr_q0722_tau0.01,anticorr,9899927,0.7000,,422.945,422.945,422.945
scan-b4096,anticorr_q0722_tau0.03,anticorr,9899753,1.0000,,448.769,448.769,448.769
scan-b4096,anticorr_q0739_tau0,anticorr,9900000,0.0000,,418.094,418.094,418.094
scan-b4096,anticorr_q0739_tau0.01,anticorr,9900332,0.8000,,416.645,416.645,416.645
scan-b4096,anticorr_q0739_tau0.03,anticorr,9899894,1.0000,,415.104,415.104,415.104
scan-b4096,anticorr_q0759_tau0,anticorr,9900000,0.0000,,419.153,419.153,419.153
scan-b4096,anticorr_q0759_tau0.01,anticorr,9900237,0.9000,,449.290,449.290,449.290
scan-b4096,anticorr_q0759_tau0.03,anticorr,9899764,1.0000,,410.984,410.984,410.984
scan-b4096,anticorr_q0763_tau0,anticorr,9900001,0.0000,,420.877,420.877,420.877
scan-b4096,anticorr_q0763_tau0.01,anticorr,9899825,0.8000,,361.664,361.664,361.664
scan-b4096,anticorr_q0763_tau0.03,anticorr,9899690,1.0000,,401.463,401.463,401.463
scan-b4096,anticorr_q0771_tau0,anticorr,9900000,0.1000,,425.080,425.080,425.080
scan-b4096,anticorr_q0771_tau0.01,anticorr,9900307,1.0000,,411.172,411.172,411.172
scan-b4096,anticorr_q0771_tau0.03,anticorr,9899838,1.0000,,388.520,388.520,388.520
scan-b4096,anticorr_q0772_tau0,anticorr,9900000,0.0000,,396.690,396.690,396.690
scan-b4096,anticorr_q0772_tau0.01,anticorr,9899747,0.5000,,408.594,408.594,408.594
scan-b4096,anticorr_q0772_tau0.03,anticorr,9900116,1.0000,,414.921,414.921,414.921
scan-b4096,anticorr_q0776_tau0,anticorr,9900000,0.1000,,419.933,419.933,419.933
scan-b4096,anticorr_q0776_tau0.01,anticorr,9899647,0.7000,,395.094,395.094,395.094
scan-b4096,anticorr_q0776_tau0.03,anticorr,9899743,1.0000,,417.358,417.358,417.358
scan-b4096,anticorr_q0777_tau0,anticorr,9900001,0.0000,,377.281,377.281,377.281
scan-b4096,anticorr_q0777_tau0.01,anticorr,9899827,0.7000,,397.274,397.274,397.274
scan-b4096,anticorr_q0777_tau0.03,anticorr,9899736,1.0000,,428.546,428.546,428.546
scan-b4096,anticorr_q0798_tau0,anticorr,9900000,0.0000,,410.409,410.409,410.409
scan-b4096,anticorr_q0798_tau0.01,anticorr,9899653,0.7000,,414.098,414.098,414.098
scan-b4096,anticorr_q0798_tau0.03,anticorr,9900398,1.0000,,417.852,417.852,417.852
scan-b4096,anticorr_q0804_tau0,anticorr,9900000,0.0000,,397.035,397.035,397.035
scan-b4096,anticorr_q0804_tau0.01,anticorr,9899438,0.8000,,406.339,406.339,406.339
scan-b4096,anticorr_q0804_tau0.03,anticorr,9900408,1.0000,,424.693,424.693,424.693
scan-b4096,anticorr_q0819_tau0,anticorr,9900000,0.0000,,438.628,438.628,438.628
scan-b4096,anticorr_q0819_tau0.01,anticorr,9899730,0.3000,,435.583,435.583,435.583
scan-b4096,anticorr_q0819_tau0.03,anticorr,9900218,1.0000,,384.090,384.090,384.090
scan-b4096,anticorr_q0823_tau0,anticorr,9900000,0.0000,,455.494,455.494,455.494
scan-b4096,anticorr_q0823_tau0.01,anticorr,9899861,0.8000,,462.982,462.982,462.982
scan-b4096,anticorr_q0823_tau0.03,anticorr,9899875,1.0000,,433.148,433.148,433.148
scan-b4096,anticorr_q0830_tau0,anticorr,9900000,0.0000,,384.780,384.780,384.780
scan-b4096,anticorr_q0830_tau0.01,anticorr,9899917,0.7000,,348.276,348.276,348.276
scan-b4096,anticorr_q0830_tau0.03,anticorr,9899898,1.0000,,413.845,413.845,413.845
scan-b4096,anticorr_q0835_tau0,anticorr,9900000,0.0000,,422.751,422.751,422.751
scan-b4096,anticorr_q0835_tau0.01,anticorr,9900310,1.0000,,388.720,388.720,388.720
scan-b4096,anticorr_q0835_tau0.03,anticorr,9899227,1.0000,,403.965,403.965,403.965
scan-b4096,anticorr_q0846_tau0,anticorr,9900001,0.0000,,398.424,398.424,398.424
scan-b4096,anticorr_q0846_tau0.01,anticorr,9899928,0.5000,,432.568,432.568,432.568
