filter,family,size,queries,recall_at_10,perfect_frac,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0259_tau0,anticorr,9900001,1,0.0000,0.0000,316.806,316.806,316.806,62.487,230.034,1.915,22.371,604.25,512.0,2100.0
anticorr_q0259_tau0.01,anticorr,9899695,1,0.3000,0.0000,308.396,308.396,308.396,62.197,228.468,1.905,15.826,604.23,512.0,2100.0
anticorr_q0259_tau0.03,anticorr,9900271,1,1.0000,1.0000,299.009,299.009,299.009,62.455,229.235,1.913,5.406,604.26,512.0,2100.0
anticorr_q0287_tau0,anticorr,9900000,1,0.0000,0.0000,313.853,313.853,313.853,62.690,229.904,2.039,19.221,604.25,512.0,2100.0
anticorr_q0287_tau0.01,anticorr,9899924,1,0.4000,0.0000,306.817,306.817,306.817,61.866,231.900,1.954,11.097,604.24,512.0,2100.0
anticorr_q0287_tau0.03,anticorr,9900818,1,1.0000,1.0000,299.437,299.437,299.437,63.312,231.430,1.940,2.756,604.30,512.0,2100.0
anticorr_q0308_tau0,anticorr,9900000,1,0.0000,0.0000,337.111,337.111,337.111,62.447,228.426,1.864,44.373,604.25,512.0,2100.0
anticorr_q0308_tau0.01,anticorr,9900426,1,0.8000,0.0000,382.966,382.966,382.966,63.115,291.220,1.983,26.648,604.27,512.0,2100.0
anticorr_q0308_tau0.03,anticorr,9899801,1,1.0000,1.0000,298.813,298.813,298.813,63.152,231.915,1.822,1.924,604.24,512.0,2100.0
anticorr_q0314_tau0,anticorr,9900000,1,0.0000,0.0000,314.666,314.666,314.666,62.626,229.325,1.986,20.728,604.25,512.0,2100.0
anticorr_q0314_tau0.01,anticorr,9900146,1,0.8000,0.0000,313.593,313.593,313.593,63.679,230.668,1.933,17.313,604.26,512.0,2100.0
anticorr_q0314_tau0.03,anticorr,9899754,1,1.0000,1.0000,302.254,302.254,302.254,62.050,230.436,1.818,7.950,604.23,512.0,2100.0
anticorr_q0322_tau0,anticorr,9900000,1,0.0000,0.0000,324.685,324.685,324.685,62.282,230.628,1.936,29.838,604.25,512.0,2100.0
anticorr_q0322_tau0.01,anticorr,9900109,1,0.8000,0.0000,316.962,316.962,316.962,62.576,230.014,2.005,22.367,604.25,512.0,2100.0
anticorr_q0322_tau0.03,anticorr,9899480,1,1.0000,1.0000,296.680,296.680,296.680,62.855,229.516,1.718,2.590,604.22,512.0,2100.0
anticorr_q0334_tau0,anticorr,9900002,1,0.0000,0.0000,313.001,313.001,313.001,63.853,229.368,1.854,17.926,604.25,512.0,2100.0
anticorr_q0334_tau0.01,anticorr,9899707,1,0.9000,0.0000,311.011,311.011,311.011,63.054,231.754,2.108,14.095,604.23,512.0,2100.0
anticorr_q0334_tau0.03,anticorr,9900192,1,1.0000,1.0000,300.995,300.995,300.995,63.155,233.170,1.833,2.837,604.26,512.0,2100.0
anticorr_q0341_tau0,anticorr,9900000,1,0.1000,0.0000,322.196,322.196,322.196,62.776,229.675,1.800,27.945,604.25,512.0,2100.0
anticorr_q0341_tau0.01,anticorr,9899869,1,0.9000,0.0000,318.105,318.105,318.105,62.223,230.633,1.674,23.575,604.24,512.0,2100.0
anticorr_q0341_tau0.03,anticorr,9899690,1,1.0000,1.0000,300.074,300.074,300.074,62.671,229.761,1.649,5.993,604.23,512.0,2100.0
anticorr_q0346_tau0,anticorr,9900000,1,0.0000,0.0000,324.608,324.608,324.608,62.484,229.698,2.238,30.188,604.25,512.0,2100.0
anticorr_q0346_tau0.01,anticorr,9899780,1,1.0000,1.0000,311.640,311.640,311.640,62.681,229.152,1.937,17.871,604.23,512.0,2100.0
anticorr_q0346_tau0.03,anticorr,9900235,1,1.0000,1.0000,295.327,295.327,295.327,62.519,229.103,1.760,1.946,604.26,512.0,2100.0
anticorr_q0353_tau0,anticorr,9900001,1,0.0000,0.0000,313.373,313.373,313.373,63.178,229.093,1.896,19.206,604.25,512.0,2100.0
anticorr_q0353_tau0.01,anticorr,9900048,1,0.7000,0.0000,309.468,309.468,309.468,63.956,230.361,2.016,13.136,604.25,512.0,2100.0
anticorr_q0353_tau0.03,anticorr,9900443,1,1.0000,1.0000,306.183,306.183,306.183,63.960,231.514,1.990,8.719,604.28,512.0,2100.0
anticorr_q0358_tau0,anticorr,9900001,1,0.1000,0.0000,324.921,324.921,324.921,63.877,228.935,1.904,30.205,604.25,512.0,2100.0
anticorr_q0358_tau0.01,anticorr,9900242,1,0.9000,0.0000,319.315,319.315,319.315,63.136,229.200,1.891,25.088,604.26,512.0,2100.0
anticorr_q0358_tau0.03,anticorr,9900623,1,1.0000,1.0000,303.763,303.763,303.763,63.368,230.582,1.832,7.980,604.29,512.0,2100.0
anticorr_q0373_tau0,anticorr,9900000,1,0.0000,0.0000,311.372,311.372,311.372,63.546,230.918,1.926,14.983,604.25,512.0,2100.0
anticorr_q0373_tau0.01,anticorr,9900210,1,0.9000,0.0000,302.032,302.032,302.032,62.807,229.438,1.872,7.915,604.26,512.0,2100.0
anticorr_q0373_tau0.03,anticorr,9899584,1,1.0000,1.0000,296.939,296.939,296.939,62.276,229.704,1.686,3.273,604.22,512.0,2100.0
anticorr_q0385_tau0,anticorr,9900000,1,0.1000,0.0000,316.091,316.091,316.091,62.559,229.918,1.963,21.651,604.25,512.0,2100.0
anticorr_q0385_tau0.01,anticorr,9899701,1,1.0000,1.0000,306.201,306.201,306.201,62.423,230.379,1.847,11.552,604.23,512.0,2100.0
anticorr_q0385_tau0.03,anticorr,9899845,1,1.0000,1.0000,297.432,297.432,297.432,63.425,228.660,1.610,3.737,604.24,512.0,2100.0
anticorr_q0391_tau0,anticorr,9900000,1,0.1000,0.0000,317.411,317.411,317.411,62.602,231.023,1.914,21.871,604.25,512.0,2100.0
anticorr_q0391_tau0.01,anticorr,9899967,1,0.7000,0.0000,305.079,305.079,305.079,62.234,229.356,1.946,11.543,604.25,512.0,2100.0
anticorr_q0391_tau0.03,anticorr,9900091,1,0.9000,0.0000,297.602,297.602,297.602,62.354,230.538,1.896,2.815,604.25,512.0,2100.0
anticorr_q0396_tau0,anticorr,9900000,1,0.0000,0.0000,324.786,324.786,324.786,62.949,230.760,1.926,29.150,604.25,512.0,2100.0
anticorr_q0396_tau0.01,anticorr,9899890,1,0.6000,0.0000,316.448,316.448,316.448,63.068,232.573,2.050,18.756,604.24,512.0,2100.0
anticorr_q0396_tau0.03,anticorr,9899840,1,1.0000,1.0000,297.826,297.826,297.826,62.563,230.413,1.798,3.052,604.24,512.0,2100.0
anticorr_q0412_tau0,anticorr,9900000,1,0.0000,0.0000,324.654,324.654,324.654,62.520,228.817,2.033,31.284,604.25,512.0,2100.0
anticorr_q0412_tau0.01,anticorr,9900222,1,0.7000,0.0000,319.603,319.603,319.603,62.800,230.222,1.924,24.657,604.26,512.0,2100.0
anticorr_q0412_tau0.03,anticorr,9899948,1,1.0000,1.0000,296.350,296.350,296.350,62.608,229.338,1.746,2.659,604.24,512.0,2100.0
anticorr_q0414_tau0,anticorr,9900000,1,0.0000,0.0000,313.918,313.918,313.918,62.429,229.725,1.984,19.780,604.25,512.0,2100.0
anticorr_q0414_tau0.01,anticorr,9900396,1,0.6000,0.0000,304.311,304.311,304.311,62.437,229.430,1.884,10.561,604.27,512.0,2100.0
anticorr_q0414_tau0.03,anticorr,9900031,1,1.0000,1.0000,304.375,304.375,304.375,63.730,231.011,2.071,7.563,604.25,512.0,2100.0
anticorr_q0419_tau0,anticorr,9900000,1,0.0000,0.0000,317.021,317.021,317.021,63.355,229.699,1.901,22.065,604.25,512.0,2100.0
anticorr_q0419_tau0.01,anticorr,9900019,1,0.6000,0.0000,309.873,309.873,309.873,62.246,230.828,2.005,14.794,604.25,512.0,2100.0
anticorr_q0419_tau0.03,anticorr,9899605,1,0.9000,0.0000,311.494,311.494,311.494,66.544,237.973,1.849,5.127,604.22,512.0,2100.0
anticorr_q0422_tau0,anticorr,9900000,1,0.0000,0.0000,334.192,334.192,334.192,64.900,236.963,1.881,30.449,604.25,512.0,2100.0
anticorr_q0422_tau0.01,anticorr,9899839,1,0.9000,0.0000,357.930,357.930,357.930,66.657,268.013,1.971,21.289,604.24,512.0,2100.0
anticorr_q0422_tau0.03,anticorr,9899461,1,1.0000,1.0000,300.504,300.504,300.504,62.767,229.037,1.912,6.788,604.22,512.0,2100.0
anticorr_q0429_tau0,anticorr,9900001,1,0.0000,0.0000,319.012,319.012,319.012,62.423,229.727,1.873,24.989,604.25,512.0,2100.0
anticorr_q0429_tau0.01,anticorr,9899982,1,0.8000,0.0000,307.959,307.959,307.959,62.139,230.258,1.659,13.902,604.25,512.0,2100.0
anticorr_q0429_tau0.03,anticorr,9899401,1,1.0000,1.0000,295.837,295.837,295.837,62.924,229.602,1.356,1.954,604.21,512.0,2100.0
anticorr_q0431_tau0,anticorr,9900000,1,0.1000,0.0000,320.986,320.986,320.986,62.735,230.821,1.893,25.537,604.25,512.0,2100.0
anticorr_q0431_tau0.01,anticorr,9900076,1,0.9000,0.0000,306.796,306.796,306.796,62.788,229.709,1.955,12.345,604.25,512.0,2100.0
anticorr_q0431_tau0.03,anticorr,9899635,1,1.0000,1.0000,296.939,296.939,296.939,62.420,229.835,1.976,2.708,604.23,512.0,2100.0
anticorr_q0445_tau0,anticorr,9900000,1,0.0000,0.0000,313.501,313.501,313.501,63.123,229.835,1.901,18.642,604.25,512.0,2100.0
anticorr_q0445_tau0.01,anticorr,9899705,1,0.5000,0.0000,304.089,304.089,304.089,62.997,229.227,1.885,9.980,604.23,512.0,2100.0
anticorr_q0445_tau0.03,anticorr,9900310,1,1.0000,1.0000,296.887,296.887,296.887,62.145,230.731,1.948,2.063,604.27,512.0,2100.0
anticorr_q0450_tau0,anticorr,9900000,1,0.0000,0.0000,318.186,318.186,318.186,62.944,228.700,2.026,24.516,604.25,512.0,2100.0
anticorr_q0450_tau0.01,anticorr,9900197,1,0.7000,0.0000,315.812,315.812,315.812,62.809,231.165,1.936,19.902,604.26,512.0,2100.0
